nazwa,miasto,branza,kod
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania,"['70', '22', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność w zakresie architektury,"['71', '11', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność w zakresie inżynierii i związane z nią doradztwo techniczne,"['71', '12', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność agencji reklamowych,"['73', '11', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników,"['78', '10', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność agencji pracy tymczasowej,"['78', '20', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Pozostała działalność związana z udostępnianiem pracowników,"['78', '30', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,"Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana","['74', '90', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Odprowadzanie i oczyszczanie ścieków,"['37', '00', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Zbieranie odpadów innych niż niebezpieczne,"['38', '11', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Zbieranie odpadów niebezpiecznych,"['38', '12', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Obróbka i usuwanie odpadów innych niż niebezpieczne,"['38', '21', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych,"['38', '22', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Działalność związana z rekultywacją i pozostała działalność usługowa związana z gospodarką odpadami,"['39', '00', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,Pozostałe sprzątanie,"['81', '29', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,"Sprzedaż detaliczna drobnych wyrobów metalowych, farb i szkła prowadzona w wyspecjalizowanych sklepach","['47', '52', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,"Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i produkcji napojów","['28', '93', 'Z']"
"PRZEDIĘBIORSTWO PRODUKCYJNO - USŁUGOWO - HANDLOWE ""RAPID"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Biała Podlaska,"Pozostała działalność profesjonalna, naukowa i techniczna","['74', None, None]"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Produkcja urządzeń chłodniczych i wentylacyjnych, z wyjątkiem urządzeń przeznaczonych dla gospodarstw domowych","['29', '23', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Produkcja pozostałych maszyn ogólnego  przeznaczenia, gdzie indziej nie sklasyfikowana, z wyjątkiem działalności usługowej","['29', '24', 'A']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Działalność usługowa w zakresie instalowania, naprawy i konserwacji maszyn ogólnego przeznaczenia, gdzie indziej nie sklasyfikowana","['29', '24', 'B']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Produkcja maszyn stosowanych w przetwórstwie żywności, tytoniu i w produkcji napojów","['29', '53', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Produkcja pozostałych maszyn dla rolnictwa i leśnictwa, z wyjątkiem działalności usługowej","['29', '32', 'A']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Działalność usługowa w zakresie instalowania, naprawy i konserwacji maszyn rolniczych i leśnych","['29', '32', 'B']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja konstrukcji metalowych z wyjątkiem działalności usługowej,"['28', '11', 'B']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Działalność usługowa w zakresie instalowania konstrukcji metalowych,"['28', '11', 'C']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja metalowych elementów stolarki budowlanej,"['28', '12', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Produkcja cystern,  pojemników i zbiorników metalowych","['28', '21', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja pojemników metalowych,"['28', '71', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Kucie, prasowanie, wytłaczanie i walcowanie metali; Metalurgia proszków","['28', '40', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Obróbka metali i nakładanie powłok na metale,"['28', '51', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Obróbka mechaniczna elementów metalowych,"['28', '52', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja wyrobów metalowych przeznaczonych do łazienek i kuchni,"['28', '75', 'A']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja wyrobów metalowych pozostała,"['28', '75', 'B']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja nadwozi pojazdów mechanicznych; Produkcja przyczep i naczep,"['34', '20', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Produkcja mebli biurowych i sklepowych pozostała,"['36', '12', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,Sprzedaż hurtowa artykułów metalowych oraz sprzętu i dodatkowego wyposażenia,"['51', '54', 'Z']"
SPOMASZ ŻNIN - MASZYNY SPOŻYWCZE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI W UPADŁOŚCI LIKWIDACYJNEJ,Żnin,"Sprzedaż hurtowa pozostałych maszyn i urządzeń dla przemysłu, handlu i transportu wodnego","['51', '65', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Sprzedaż hurtowa napojów alkoholowych i bezalkoholowych,"['46', '34', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Sprzedaż hurtowa napojów alkoholowych,"['46', '34', 'A']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Sprzedaż hurtowa napojów bezalkoholowych,"['46', '34', 'B']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Handel hurtowy, z wyłączeniem handlu pojazdami samochodowymi","['46', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Handel detaliczny, z wyłączeniem handlu detalicznego pojazdami samochodowymi","['47', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Handel hurtowy i detaliczny pojazdami samochodowymi; Naprawa pojazdów samochodowych,"['45', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Wynajem i dzierżawa maszyn i urządzeń rolniczych,"['77', '31', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Wynajem i dzierżawa maszyn i urządzeń budowlanych,"['77', '32', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Magazynowanie i przechowywanie towarów,"['52', '10', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Działalność usługowa wspomagająca produkcję roślinną,"['01', '61', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Działalność usługowa następująca po zbiorach,"['01', '63', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Obróbka nasion dla celów rozmnażania roślin,"['01', '64', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Działalność usługowa związana z zagospodarowaniem terenów zieleni,"['81', '30', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Produkcja wyrobów z drewna oraz korka, z wyłączeniem mebli; Produkcja wyrobów ze słomy i materiałów używanych do wyplatania","['16', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania","['16', '2', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Działalność wydawnicza,"['58', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Poligrafia i reprodukcja zapisanych nośników informacji,"['18', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Produkcja pozostałych wyrobów z mineralnych surowców niemetalicznych, gdzie indziej niesklasyfikowana","['23', '99', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Wykonywanie instalacji elektrycznych,"['43', '21', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Wykonywanie instalacji wodno-kanalizacyjnych, cieplnych, gazowych i klimatyzacyjnych","['43', '22', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Wykonywanie pozostałych instalacji budowlanych,"['43', '29', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Wykonywanie robót budowlanych wykończeniowych,"['43', '3', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Sprzedaż hurtowa żywności, napojów i wyrobów tytoniowych","['46', '3', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Sprzedaż hurtowa artykułów użytku domowego,"['46', '4', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Pozostała wyspecjalizowana sprzedaż hurtowa,"['46', '7', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja artykułów użytku osobistego i domowego,"['95', '2', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Hotele i podobne obiekty zakwaterowania,"['55', '10', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Restauracje i pozostałe placówki gastronomiczne,"['56', '1', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Transport lądowy oraz transport rurociągowy,"['49', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Ubezpieczenia, reasekuracja oraz fundusze emerytalne, z wyłączeniem obowiązkowego ubezpieczenia społecznego","['65', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania,"['70', '22', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Działalność związana z obsługą rynku nieruchomości,"['68', None, None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane","['77', '39', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Pozostała działalność usługowa w zakresie rezerwacji i działalności z nią związane,"['79', '90', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Pozostała działalność rozrywkowa i rekreacyjna,"['93', '29', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Magazynowanie i przechowywanie paliw gazowych,"['52', '10', 'A']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Magazynowanie i przechowywanie pozostałych towarów,"['52', '10', 'B']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Produkcja wyrobów z betonu, cementu i gipsu","['23', '6', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Produkcja wyrobów budowlanych z betonu,"['23', '61', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Produkcja wyrobów budowlanych z gipsu,"['23', '62', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Produkcja masy betonowej prefabrykowanej,"['23', '63', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Produkcja zaprawy murarskiej,"['23', '64', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Produkcja cementu wzmocnionego włóknem,"['23', '65', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Produkcja pozostałych wyrobów z betonu, gipsu i cementu","['23', '69', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Cięcie, formowanie i wykańczanie kamienia","['23', '70', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Naprawa i konserwacja metalowych wyrobów gotowych, maszyn i urządzeń","['33', '1', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja metalowych wyrobów gotowych,"['33', '11', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja maszyn,"['33', '12', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja urządzeń elektronicznych i optycznych,"['33', '13', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja urządzeń elektrycznych,"['33', '14', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja statków i łodzi,"['33', '15', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja statków powietrznych i statków kosmicznych,"['33', '16', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja pozostałego sprzętu transportowego,"['33', '17', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Naprawa i konserwacja pozostałego sprzętu i wyposażenia,"['33', '19', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,"Pobór, uzdatnianie i dostarczanie wody","['36', '00', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Odprowadzanie i oczyszczanie ścieków,"['37', '00', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Zbieranie odpadów,"['38', '1', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Zbieranie odpadów innych niż niebezpieczne,"['38', '11', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Zbieranie odpadów niebezpiecznych,"['38', '12', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Przetwarzanie i unieszkodliwianie odpadów,"['38', '2', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Obróbka i usuwanie odpadów innych niż niebezpieczne,"['38', '21', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Przetwarzanie i unieszkodliwianie odpadów niebezpiecznych,"['38', '22', 'Z']"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Odzysk surowców,"['38', '3', None]"
"""SYSTEM"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W UPADŁOŚCI LIKWIDACYJNEJ",Dobrzany,Demontaż wyrobów zużytych,"['38', '31', 'Z']"
